channel,rank,frequency_hz,amplitude_g
AI0 (g),1,283.4400,0.00023314037
AI0 (g),2,2999.2000,0.00022409721
AI0 (g),3,749.8600,0.00021087819
AI0 (g),4,2999.0900,0.00020514169
AI0 (g),5,283.4300,0.0002016605
AI0 (g),6,425.1600,0.00018911542
AI0 (g),7,425.1500,0.00018193773
AI0 (g),8,2999.4100,0.00016999695
AI0 (g),9,2998.9500,0.00016593501
AI0 (g),10,283.4200,0.00016426618
AI1 (g),1,283.4400,0.00059531476
AI1 (g),2,283.4300,0.00050994522
AI1 (g),3,283.4200,0.00041895993
AI1 (g),4,99.2000,0.00037140722
AI1 (g),5,283.4500,0.00034383979
AI1 (g),6,103.0700,0.00033770871
AI1 (g),7,85.0300,0.00031634384
AI1 (g),8,103.0600,0.0003151791
AI1 (g),9,56.6900,0.00029592536
AI1 (g),10,141.7200,0.0002885055
AI2 (g),1,1133.7600,0.00025697829
AI2 (g),2,1133.7700,0.00025414416
AI2 (g),3,1133.8100,0.00025365122
AI2 (g),4,4499.9900,0.00024184494
AI2 (g),5,1133.5200,0.00023537087
AI2 (g),6,1133.7900,0.00023489234
AI2 (g),7,4499.7600,0.00022996339
AI2 (g),8,2625.0000,0.00022843116
AI2 (g),9,1133.6900,0.00021766864
AI2 (g),10,2624.8500,0.00020882946
